regime,code,type,X_EtOH,residual_low,residual_high
low_activity,S1,surface_TS,0.0,5.253771718536856e-15,5.253771718536856e-15
low_activity,S2,surface_TS,1.7897893373661664e-05,3.979665048429337e-15,5.212741043217014e-15
low_activity,S3,surface_TS,0.0,5.253771718536856e-15,5.253771718536856e-15
low_activity,S4,surface_TS,3.012898247313559e-09,4.381055263204664e-15,5.1525597511467406e-15
low_activity,S5,surface_TS,0.0004113968895402,4.074390065004072e-15,7.911231634296441e-15
low_activity,S6,surface_TS,6.363060587566616e-06,4.9255693982542455e-15,5.5049042945833576e-15
low_activity,S7,surface_TS,2.842045076467777e-06,4.818392721975888e-15,5.321496445651748e-15
low_activity,S8,surface_TS,3.7189777492312927e-10,5.829145927923721e-15,5.254317637959506e-15
low_activity,S9,surface_TS,0.0,5.253771718536856e-15,5.253771718536856e-15
low_activity,S10,surface_TS,3.6424931125018192e-09,4.6849770137851846e-15,5.761499120586863e-15
low_activity,S11,surface_TS,3.562521057015048e-07,5.17805619833388e-15,5.488183591976224e-15
low_activity,S12,surface_TS,-8.623101083545824e-06,5.465669659561437e-15,8.888714023856206e-15
low_activity,S13,surface_TS,2.1654019851291244e-05,4.341136808978772e-15,9.275138090354172e-15
low_activity,S14,surface_TS,0.0259237855170097,5.975297919868518e-15,8.856910599231622e-15
low_activity,S15,surface_TS,0.0,5.253771718536856e-15,5.253771718536856e-15
low_activity,S16,surface_TS,-4.12245175032714e-11,5.5440322992065336e-15,4.730218787651249e-15
low_activity,S17,surface_TS,7.628652573223133e-06,5.549934916378154e-15,5.990400170506441e-15
low_activity,S18,surface_TS,0.0029232605497107,4.730464306663299e-15,1.2014803273351056e-14
low_activity,S19,surface_TS,4.841688013150172e-10,5.492690275348117e-15,4.387927364383974e-15
low_activity,S20,surface_TS,0.0,5.253771718536856e-15,5.253771718536856e-15
low_activity,S21,surface_TS,0.4755962426978966,5.41076750311568e-15,3.9635482640113086e-15
low_activity,S22,surface_TS,3.229346909855266e-05,4.229961390275632e-15,4.443597321862253e-15
low_activity,S23,surface_TS,5.0581987229763104e-05,5.392399220418498e-15,4.0544774039639046e-15
low_activity,S24,surface_TS,-3.498448333100154e-06,5.414676632418165e-15,6.16261981047668e-15
low_activity,S25,surface_TS,-0.6144408573945268,5.042492149688384e-15,5.479056886945418e-15
low_activity,S26,surface_TS,4.547911576013137e-07,5.104392400293135e-15,5.020490567084664e-15
low_activity,S27,surface_TS,0.0,5.253771718536856e-15,5.253771718536856e-15
low_activity,S28,surface_TS,-0.001683955277298,5.638802440274665e-15,4.212290186970594e-15
low_activity,S29,surface_TS,0.0018981159414022,5.147224301370095e-15,6.199081325848429e-15
low_activity,S30,surface_TS,0.0,5.253771718536856e-15,5.253771718536856e-15
low_activity,S31,surface_TS,2.5436404416912144e-11,5.949020144374707e-15,4.062661785600972e-15
low_activity,S32,surface_TS,0.0,5.253771718536856e-15,5.253771718536856e-15
low_activity,S33,surface_TS,0.0135588009220792,8.796791704595742e-15,5.572925963055443e-15
low_activity,S34,surface_TS,7.565570325353886e-05,6.990046502679403e-15,6.294448890307504e-15
low_activity,S35,surface_TS,0.4790667828134569,4.456503414178803e-15,5.119977906424298e-15
low_activity,S36,surface_TS,0.0,5.253771718536856e-15,5.253771718536856e-15
low_activity,S37,surface_TS,0.0023125009123811,5.548784671281731e-15,4.506726044568688e-15
low_activity,S39,surface_TS,1.1167725300105798e-06,5.105125802309915e-15,5.254447581432813e-15
low_activity,S40,surface_TS,0.0018440556383149,5.290939686374191e-15,5.445332328528333e-15
low_activity,S41,surface_TS,1.483024914252724e-05,5.289363891984049e-15,4.154890925230309e-15
low_activity,S42,surface_TS,0.6123717291479226,6.531373967164805e-15,6.634462312111343e-15
low_activity,S43,surface_TS,3.683893053483828e-12,5.454649157673894e-15,3.562020695002284e-15
low_activity,S44,surface_TS,-2.2805052235852267e-12,5.228889915413046e-15,4.0240653756055375e-15
low_activity,S45,surface_TS,1.2455066990350084e-11,4.917646391986793e-15,4.959265065421018e-15
intermediate_activity,S1,surface_TS,0.0,5.662987892899874e-15,5.662987892899874e-15
intermediate_activity,S2,surface_TS,1.907379565134319e-06,5.795057187331799e-15,8.179416246875239e-15
intermediate_activity,S3,surface_TS,0.0,5.662987892899874e-15,5.662987892899874e-15
intermediate_activity,S4,surface_TS,1.4704115539016426e-08,8.129522710708948e-15,6.0412446879370335e-15
intermediate_activity,S5,surface_TS,0.0007791211734665,3.943718200782674e-15,6.592616884089528e-15
intermediate_activity,S6,surface_TS,1.2727744683762568e-05,6.587610958223364e-15,7.629195104798363e-15
intermediate_activity,S7,surface_TS,6.474432533882044e-06,6.5546299677512666e-15,5.965541478728176e-15
intermediate_activity,S8,surface_TS,1.9075001070868917e-09,4.639987685208138e-15,4.733025046084732e-15
intermediate_activity,S9,surface_TS,0.0,5.662987892899874e-15,5.662987892899874e-15
intermediate_activity,S10,surface_TS,5.256544640667407e-10,7.34480931619602e-15,3.298304493874032e-15
intermediate_activity,S11,surface_TS,1.365000000513594e-06,5.300916841476148e-15,6.475992811461683e-15
intermediate_activity,S12,surface_TS,-1.823826149122269e-05,2.869654716923536e-15,3.8123844149697076e-15
intermediate_activity,S13,surface_TS,1.577813289258234e-06,6.531908032426465e-15,4.5431812319619006e-15
intermediate_activity,S14,surface_TS,0.0442826881280943,5.919774553217559e-15,4.895052393773502e-15
intermediate_activity,S15,surface_TS,0.0,5.662987892899874e-15,5.662987892899874e-15
intermediate_activity,S16,surface_TS,-2.0980403137642038e-12,4.4289375165477e-15,3.965006436860739e-15
intermediate_activity,S17,surface_TS,1.4491793573167082e-05,4.751220039806191e-15,4.846061075421815e-15
intermediate_activity,S18,surface_TS,0.0001659917063361,3.779134976268468e-15,3.812404832839847e-15
intermediate_activity,S19,surface_TS,2.775135142297197e-11,4.113069859064442e-15,6.071918951687587e-15
intermediate_activity,S20,surface_TS,0.0,5.662987892899874e-15,5.662987892899874e-15
intermediate_activity,S21,surface_TS,0.4746003545524734,6.579995195243293e-15,4.942615809495875e-15
intermediate_activity,S22,surface_TS,7.535649943761167e-05,6.171884028569569e-15,4.206796963067098e-15
intermediate_activity,S23,surface_TS,0.0001275597731609,4.846048737009708e-15,5.0773043554457e-15
intermediate_activity,S24,surface_TS,-9.220554610994306e-05,4.248663422882273e-15,5.175223196445601e-15
intermediate_activity,S25,surface_TS,-0.8527108590741109,3.5837452616853555e-15,4.304567335320967e-15
intermediate_activity,S26,surface_TS,9.17075555471644e-06,7.998472359342211e-15,4.414463057211905e-15
