regime,T_K,P_CO_bar,P_H2_bar,code,net_flux_site-1_s-1
low_activity,573.0,10.0,5.0,S1,1.0940216996792764e-35
low_activity,573.0,10.0,5.0,S2,-1.3103234645561952e-18
low_activity,573.0,10.0,5.0,S3,2.5893280735428647e-29
low_activity,573.0,10.0,5.0,S4,8.800883081339574e-23
low_activity,573.0,10.0,5.0,S5,1.20651367602511e-17
low_activity,573.0,10.0,5.0,S6,4.6965126002602037e-14
low_activity,573.0,10.0,5.0,S7,4.4541760543444754e-14
low_activity,573.0,10.0,5.0,S8,4.328106536816234e-14
low_activity,573.0,10.0,5.0,S9,-2.1002632740604215e-26
low_activity,573.0,10.0,5.0,S10,-1.5855216165806156e-18
low_activity,573.0,10.0,5.0,S11,1.2597482734723089e-15
low_activity,573.0,10.0,5.0,S12,4.3266525057559794e-14
low_activity,573.0,10.0,5.0,S13,-1.585521616580266e-18
low_activity,573.0,10.0,5.0,S14,1.2597482737250297e-15
low_activity,573.0,10.0,5.0,S15,-2.957161627115461e-30
low_activity,573.0,10.0,5.0,S16,1.0734220929768164e-35
low_activity,573.0,10.0,5.0,S17,1.4108515675252111e-14
low_activity,573.0,10.0,5.0,S18,-2.140193177040012e-16
low_activity,573.0,10.0,5.0,S19,-1.3103234642139921e-18
low_activity,573.0,10.0,5.0,S20,8.073739205568683e-31
low_activity,573.0,10.0,5.0,S21,1.3891600507552043e-14
low_activity,573.0,10.0,5.0,S22,9.470784373505272e-19
low_activity,573.0,10.0,5.0,S23,2.4749082606341536e-18
low_activity,573.0,10.0,5.0,S24,2.4817813405651545e-17
low_activity,573.0,10.0,5.0,S25,-9.339147442331527e-15
low_activity,573.0,10.0,5.0,S26,1.512653105588839e-14
low_activity,573.0,10.0,5.0,S27,-2.465190328815662e-31
low_activity,573.0,10.0,5.0,S28,-1.1937812796498052e-14
low_activity,573.0,10.0,5.0,S29,2.6389702910322177e-15
low_activity,573.0,10.0,5.0,S30,2.6991349434356286e-28
low_activity,573.0,10.0,5.0,S31,1.0734220929683444e-35
low_activity,573.0,10.0,5.0,S32,5.221996127893747e-47
low_activity,573.0,10.0,5.0,S33,9.926568167389934e-16
low_activity,573.0,10.0,5.0,S34,1.6679409986626537e-18
low_activity,573.0,10.0,5.0,S35,1.5114184790285142e-14
low_activity,573.0,10.0,5.0,S36,7.237830359838992e-25
low_activity,573.0,10.0,5.0,S37,5.0983261463482355e-17
low_activity,573.0,10.0,5.0,S39,1.512653105588102e-14
low_activity,573.0,10.0,5.0,S40,3.188718259380193e-15
low_activity,573.0,10.0,5.0,S41,5.827688550812672e-15
low_activity,573.0,10.0,5.0,S42,5.827688550412192e-15
low_activity,573.0,10.0,5.0,S43,1.0734220532494701e-35
low_activity,573.0,10.0,5.0,S44,1.0734220521284312e-35
low_activity,573.0,10.0,5.0,S45,1.073422074371224e-35
low_activity,573.0,10.0,5.0,D1,9.339147442331568e-15
low_activity,573.0,10.0,5.0,D2,4.32665250575599e-14
